Measure,Relationship,Type,Name,Alias,Country,Address,Registration number,Notes,Source URL
Al-Huda Bank,related,Organization,Asa'ib Ahl al-Haq,AAH,Iraq,,,"""For years, Al-Huda Bank has exploited its access to U.S. dollars (USD) to support designated foreign terrorist organizations (FTOs), including Iran's Islamic Revolutionary Guard Corps (IRGC) and IRGC-Quds Force (IRGC-QF) as well as Iran-aligned Iraqi militias Kata'ib Hizballah (KH) and Asa'ib Ahl al-Haq (AAH)""; ""The Iran-aligned Iraqi militia AAH has used companies based across Iraq to generate revenue, launder illicit profits, and convert IQD to USD""; ""AAH has used Al-Huda Bank to maintain accounts for some of these companies, as well as to access the currency auction""",https://www.federalregister.gov/documents/2024/01/31/2024-02004/proposal-of-special-measure-regarding-al-huda-bank-as-a-foreign-financial-institution-of-primary
Al-Huda Bank,related,Organization,Asa'ib Ahl al-Haq,AAH,Iraq,,,"""FinCEN assesses that Al-Huda Bank has exploited its access to USD to support designated foreign terrorist organizations (FTOs), including Iran's Islamic Revolutionary Guard Corps (IRGC) and IRGC-Quds Force (IRGC-QF), as well as Iran-aligned Iraqi militias Kata'ib Hizballah (KH) and Asa'ib Ahl al-Haq (AAH)""; ""The Iran-aligned Iraqi militia AAH has used companies based across Iraq to generate revenue, launder illicit profits, and convert IQD to USD""; ""AAH has used Al-Huda Bank to maintain accounts for some of these companies, as well as to access the currency auction""",https://www.federalregister.gov/documents/2024/07/03/2024-14415/imposition-of-special-measure-regarding-al-huda-bank-as-a-financial-institution-of-primary-money
Al-Huda Bank,owner,Person,Hamad al-Moussawi,,,,,"""FinCEN received four comments attesting to the good reputation of the owner and chairman of Al-Huda Bank, Hamad al-Moussawi (al-Moussawi)""; ""Further, even if they could be substantiated, such general claims about Al-Huda Bank and its owner al-Moussawi would not allay FinCEN's concerns regarding Al-Huda Bank's specific illicit conduct""; ""Moreover, the chairman of Al-Huda Bank is complicit in Al-Huda Bank's illicit financial activities, including money laundering through front companies that conceal the true nature of and parties involved in illicit transactions, ultimately enabling the financing of terrorism""",https://www.federalregister.gov/documents/2024/07/03/2024-14415/imposition-of-special-measure-regarding-al-huda-bank-as-a-financial-institution-of-primary-money
Al-Huda Bank,controller,Organization,IRGC-Quds Force,IRGC-QF,Iran,,,"""For years, Al-Huda Bank has exploited its access to U.S. dollars (USD) to support designated foreign terrorist organizations (FTOs), including Iran's Islamic Revolutionary Guard Corps (IRGC) and IRGC-Quds Force (IRGC-QF) as well as Iran-aligned Iraqi militias Kata'ib Hizballah (KH) and Asa'ib Ahl al-Haq (AAH)""; ""Since its establishment, Al-Huda Bank has been controlled and operated by the IRGC and IRGC-QF""; ""In 2008, the chairman of Al-Huda Bank established the bank specifically for the benefit of KH and has met with and taken orders from IRGC-QF leadership in Tehran, Iran""",https://www.federalregister.gov/documents/2024/01/31/2024-02004/proposal-of-special-measure-regarding-al-huda-bank-as-a-foreign-financial-institution-of-primary
Al-Huda Bank,controller,Organization,IRGC-Quds Force,IRGC-QF,Iran,,,"""FinCEN assesses that Al-Huda Bank has exploited its access to USD to support designated foreign terrorist organizations (FTOs), including Iran's Islamic Revolutionary Guard Corps (IRGC) and IRGC-Quds Force (IRGC-QF), as well as Iran-aligned Iraqi militias Kata'ib Hizballah (KH) and Asa'ib Ahl al-Haq (AAH)""; ""Since its establishment, Al-Huda Bank has been controlled and operated by the IRGC and IRGC-QF""; ""In 2008, the chairman of Al-Huda Bank established the bank specifically for the benefit of KH and has met with and taken orders from IRGC-QF leadership in Tehran, Iran""",https://www.federalregister.gov/documents/2024/07/03/2024-14415/imposition-of-special-measure-regarding-al-huda-bank-as-a-financial-institution-of-primary-money
Al-Huda Bank,controller,Organization,Islamic Revolutionary Guard Corps,IRGC,Iran,,,"""For years, Al-Huda Bank has exploited its access to U.S. dollars (USD) to support designated foreign terrorist organizations (FTOs), including Iran's Islamic Revolutionary Guard Corps (IRGC) and IRGC-Quds Force (IRGC-QF) as well as Iran-aligned Iraqi militias Kata'ib Hizballah (KH) and Asa'ib Ahl al-Haq (AAH)""; ""Since its establishment, Al-Huda Bank has been controlled and operated by the IRGC and IRGC-QF""; ""Overall, IRGC and IRGC-QF use of Al-Huda Bank and several other Iraqi banks to access the dollar auction resulted in approximately $70 billion USD in profit from 2019 through 2020""",https://www.federalregister.gov/documents/2024/01/31/2024-02004/proposal-of-special-measure-regarding-al-huda-bank-as-a-foreign-financial-institution-of-primary
Al-Huda Bank,controller,Organization,Islamic Revolutionary Guard Corps,IRGC,Iran,,,"""FinCEN assesses that Al-Huda Bank has exploited its access to USD to support designated foreign terrorist organizations (FTOs), including Iran's Islamic Revolutionary Guard Corps (IRGC) and IRGC-Quds Force (IRGC-QF), as well as Iran-aligned Iraqi militias Kata'ib Hizballah (KH) and Asa'ib Ahl al-Haq (AAH)""; ""Since its establishment, Al-Huda Bank has been controlled and operated by the IRGC and IRGC-QF""; ""Overall, IRGC and IRGC-QF use of Al-Huda Bank and several other Iraqi banks to access the CBI dollar auction resulted in approximately $70 billion USD in profit, from 2019 through 2020""",https://www.federalregister.gov/documents/2024/07/03/2024-14415/imposition-of-special-measure-regarding-al-huda-bank-as-a-financial-institution-of-primary-money
Al-Huda Bank,related,Organization,Kata'ib Hizballah,KH,Iraq,,,"""For years, Al-Huda Bank has exploited its access to U.S. dollars (USD) to support designated foreign terrorist organizations (FTOs), including Iran's Islamic Revolutionary Guard Corps (IRGC) and IRGC-Quds Force (IRGC-QF) as well as Iran-aligned Iraqi militias Kata'ib Hizballah (KH) and Asa'ib Ahl al-Haq (AAH)""; ""In 2008, the chairman of Al-Huda Bank established the bank specifically for the benefit of KH and has met with and taken orders from IRGC-QF leadership in Tehran, Iran""; ""After establishing the bank, the Al-Huda Bank chairman began money laundering operations on behalf of the IRGC-QF and KH""",https://www.federalregister.gov/documents/2024/01/31/2024-02004/proposal-of-special-measure-regarding-al-huda-bank-as-a-foreign-financial-institution-of-primary
Al-Huda Bank,related,Organization,Kata'ib Hizballah,KH,Iraq,,,"""FinCEN assesses that Al-Huda Bank has exploited its access to USD to support designated foreign terrorist organizations (FTOs), including Iran's Islamic Revolutionary Guard Corps (IRGC) and IRGC-Quds Force (IRGC-QF), as well as Iran-aligned Iraqi militias Kata'ib Hizballah (KH) and Asa'ib Ahl al-Haq (AAH)""; ""In 2008, the chairman of Al-Huda Bank established the bank specifically for the benefit of KH and has met with and taken orders from IRGC-QF leadership in Tehran, Iran""; ""After establishing the bank, the Al-Huda Bank chairman began money laundering operations on behalf of the IRGC-QF and KH""",https://www.federalregister.gov/documents/2024/07/03/2024-14415/imposition-of-special-measure-regarding-al-huda-bank-as-a-financial-institution-of-primary-money
Asia Wealth Bank,self,,Asia Wealth Bank,,Burma,,,"""Asia Wealth Bank started its banking operation in 1995, was one of the largest private banks in Burma, and offered a wide variety of banking services""; ""the Government of Burma revoked the licenses of the Banks in 2005 and neither financial institution currently exists""; ""FinCEN hereby withdraws the finding that Myanmar Mayflower Bank and Asia Wealth Bank are financial institutions of primary money laundering concern, as of October 1, 2012""",https://www.fincen.gov/system/files/shared/2012-23995.pdf
Asia Wealth Bank,self,,Asia Wealth Bank,,Burma,,,"""Asia Wealth Bank started its banking operation in 1995 and is one of the largest private banks in Burma, offering a wide variety of banking services""; ""Asia Wealth Bank, one of Burma's largest private banks, is affiliated with prominent organizations and figures in the drug trade, including members of the Kokang ethnic group headed by notorious druglord Peng Chia-Sheng""",https://www.fincen.gov/system/files/shared/311_burmese_banks.pdf
Asia Wealth Bank,self,,Asia Wealth Bank,,Burma,,,"""Asia Wealth Bank started its banking operation in 1995 and is one of the largest private banks in Burma, offering a wide variety of banking services""; ""in the case of the Asia Wealth Bank, the owners are linked to organized crime""",https://www.fincen.gov/system/files/shared/mayflowerbank.pdf
Asia Wealth Bank,related,Person,Aik Htun,Eike Htun,,,,"""According to the 2003 Europa World Yearbook, Win Maung is the Chairman and Aik Htun is the Vice-Chair""; ""Eike Htun, the vice chairman of the bank, has been specifically identified as having connections with Burma's narcotics trade""",https://www.fincen.gov/system/files/shared/311_burmese_banks.pdf
Asia Wealth Bank,related,Person,Aik Htun,,,,,"""According to the 2003 Europa World Yearbook, Win Maung is the Chairman and Aik Htun is the Vice-Chair""",https://www.fincen.gov/system/files/shared/mayflowerbank.pdf
Asia Wealth Bank,related,Organization,United Wa State Army,UWSA,,,,"""the individuals who own and control the banks are linked to the United Wa State Army (UWSA), an organization involved in narcotics trafficking, and designated as significant narcotics traffickers under the Foreign Narcotics Kingpin Designation Act""; ""believed to be controlled by drug traffickers, and believed to be used by the UWSA and possibly other organized crime groups to conduct illegal transactions""",https://www.fincen.gov/system/files/shared/311_burmese_banks.pdf
Banca Privada d’Andorra,self,,Banca Privada d’Andorra,BPA,Andorra,,,"""BPA is one of five Andorran banks and is a subsidiary of the BPA Group, a privately-held entity.""; ""Founded in 1962, BPA is the fourth largest bank of the five banks in Andorra and has 1.79 billion euro in assets.""; ""The bank has seven domestic branches in Andorra and five foreign branches that operate in Spain, Switzerland, Luxembourg, Panama, and Uruguay.""",https://www.fincen.gov/system/files/shared/BPA_NOF.pdf
Banca Privada d’Andorra,self,,Banca Privada d’Andorra,BPA,Andorra,,,"""On March 13, 2015, FinCEN provided notice in the Federal Register that it had found Banca Privada d'Andorra (“BPA”), a bank headquartered in Andorra, to be of primary money laundering concern.""; ""FinCEN therefore has determined that BPA no longer is a primary money laundering concern and will not impose any special measures under Section 311 with respect to BPA.""",https://www.fincen.gov/system/files/shared/BPA_Withdrawal_Finding.pdf
Banca Privada d’Andorra,self,,Banca Privada d’Andorra,BPA,Andorra,,,"""On March 13, 2015, FinCEN provided notice in the Federal Register that it had found Banca Privada d'Andorra (“BPA”), a bank headquartered in Andorra, to be of primary money laundering concern.""; ""FinCEN therefore has determined that BPA no longer is a primary money laundering concern and will not impose any special measures under Section 311 with respect to BPA.""",https://www.fincen.gov/system/files/shared/BPA_Withdrawal_NPRM.pdf
Banca Privada d’Andorra,related,Person,Andrey Petrov,,,,,"""From 2011 to February 2013, High-Level Manager A at BPA in Andorra provided substantial assistance to Andrey Petrov, a TPML (“TPML 1”) working for Russian criminal organizations engaged in corruption.""; ""Both Petrov and the Russian businessman relied on BPA to facilitate the laundering of the organized crime proceeds and maintained large bank accounts with BPA.""; ""In February 2013, Spanish law enforcement arrested Petrov and several associates for laundering approximately 56 million euro.""",https://www.fincen.gov/system/files/shared/BPA_NOF.pdf
Banca Privada d’Andorra,owner,LegalEntity,BPA Group,,,,,"""BPA is one of five Andorran banks and is a subsidiary of the BPA Group, a privately-held entity.""",https://www.fincen.gov/system/files/shared/BPA_NOF.pdf
Banca Privada d’Andorra,related,Person,Gao Ping,,,,,"""from 2011 to October 2012, High-Level Manager C at BPA accepted bribes to process bulk cash transfers for TPML Gao Ping (“TPML 3”).""; ""Ping acted on behalf of a transnational criminal organization engaged in trade-based money laundering and human trafficking and established relationships with Andorran banks to launder money on behalf of his organization and numerous Spanish businesspersons.""; ""Spanish law enforcement arrested Ping in September 2012 for his involvement in money laundering.""",https://www.fincen.gov/system/files/shared/BPA_NOF.pdf
Banca Privada d’Andorra,related,Company,Vall Banc,,Andorra,,,"""In July 2015, AREB announced the creation of the bridge bank, named Vall Banc, to receive the transfer of BPA's legitimate assets, liabilities, and clients.""; ""Vall Banc is wholly-owned by AREB, is registered with the INAF, and is supervised by Andorran banking supervisory authorities.""; ""Vall Banc will not employ the high-level BPA managers described in FinCEN's Notice of Finding.""",https://www.fincen.gov/system/files/shared/BPA_Withdrawal_Finding.pdf
Banca Privada d’Andorra,related,Company,Vall Banc,,Andorra,,,"""In July 2015, AREB announced the creation of the bridge bank, named Vall Banc, to receive the transfer of BPA's legitimate assets, liabilities, and clients.""; ""Vall Banc is wholly-owned by AREB, is registered with the INAF, and is supervised by Andorran banking supervisory authorities.""; ""Vall Banc will not employ the high-level BPA managers described in FinCEN's Notice of Finding.""",https://www.fincen.gov/system/files/shared/BPA_Withdrawal_NPRM.pdf
Banco Delta Asia,self,,Banco Delta Asia,Banco Delta Asia SARL; Banco Hang Sang,Macau,,,"""Banco Delta Asia, located and licensed in Macau, is the commercial banking arm of its parent company, Delta Asia Group (Holdings) Ltd. (“Delta Asia Group”)""; ""Banco Delta Asia was originally established in 1935 as Banco Hang Sang, and its name changed to Banco Delta Asia in December 1993""; ""According to Banco Delta Asia's representations to us, the bank had roughly $205 million (U.S. dollars) in assets as of July 2006""",https://www.fincen.gov/system/files/shared/bda_final_rule.pdf
Banco Delta Asia,self,,Banco Delta Asia,Banco Delta Asia SARL; Banco Hang Sang,Macau,,,"""Banco Delta Asia, located and licensed in the Macau Special Administrative Region, China, is the commercial banking arm of its parent company, Delta Asia Group (Holdings) Ltd. (Delta Asia Group)""; ""Banco Delta Asia was originally established in 1935 as Banco Hang Sang, and its name changed to Banco Delta Asia in December 1993""; ""Banco Delta Asia operates eight branches in Macau (including a branch at a casino) and is served by a representative office in Japan""",https://www.fincen.gov/system/files/shared/finding_banco.pdf
Banco Delta Asia,self,,Banco Delta Asia,Banco Delta Asia SARL; Banco Hang Sang,Macau,,,"""Banco Delta Asia, located and licensed in the Macau Special Administrative Region, China, is the commercial banking arm of its parent company, Delta Asia Group (Holdings) Ltd. (Delta Asia Group)""; ""Banco Delta Asia was originally established in 1935 as Banco Hang Sang, and its name changed to Banco Delta Asia in December 1993""; ""Banco Delta Asia operates eight branches in Macau (including a branch at a casino) and is served by a representative office in Japan""",https://www.fincen.gov/system/files/shared/notice_banco.pdf
Banco Delta Asia,subsidiary,Company,Delta Asia Credit Limited,,,,,"""Banco Delta Asia has two wholly owned subsidiaries: Delta Asia Credit Limited and Delta Asia Insurance Limited""",https://www.fincen.gov/system/files/shared/bda_final_rule.pdf
Banco Delta Asia,target,Company,Delta Asia Credit Limited,,,,,"""Imposition of Special Measure Against Banco Delta Asia, Including Its Subsidiaries Delta Asia Credit Limited and Delta Asia Insurance Limited, as a Financial Institution of Primary Money Laundering Concern""; ""we are prohibited from establishing, maintaining, administering or managing a correspondent account for, or on behalf of, Banco Delta Asia or any of its subsidiaries (including, but not limited to, Delta Asia Credit Limited, and Delta Asia Insurance Limited)""",https://www.fincen.gov/system/files/shared/bda_final_rule.pdf
Banco Delta Asia,subsidiary,Company,Delta Asia Credit Ltd.,,,,,"""In addition, Banco Delta Asia maintains correspondent accounts in Europe, Asia, Australia, Canada, and the United States, and has two wholly owned subsidiaries: Delta Asia Credit Ltd., and Delta Asia Insurance Limited""",https://www.fincen.gov/system/files/shared/finding_banco.pdf
Banco Delta Asia,target,Company,Delta Asia Credit Ltd.,,,,,"""This finding of primary money laundering concern shall apply exclusively to Banco Delta Asia and its branches, offices, and subsidiaries, and not to Delta Asia Group (Holdings) Ltd., or any of its other subsidiaries""",https://www.fincen.gov/system/files/shared/finding_banco.pdf
Banco Delta Asia,subsidiary,Company,Delta Asia Credit Ltd.,,,,,"""In addition, Banco Delta Asia maintains correspondent accounts in Europe, Asia, Australia, Canada, and the United States, and has two wholly owned subsidiaries: Delta Asia Credit Ltd., and Delta Asia Insurance Limited""; ""These branches, offices, and subsidiaries include, but are not necessarily limited to, the Amaral, Antonio, Barca, Campo, Ioa Hon, Lisboa, Outubro, and Tap Sac branches in Macau, the Airport Service Centre, Financial Services Centre, Macao Administrative Centre, The Bank Centre, Delta Asia Credit Ltd., Delta Asia Insurance Limited, and the Tokyo Representative Office""",https://www.fincen.gov/system/files/shared/notice_banco.pdf
Banco Delta Asia,owner,Company,Delta Asia Group (Holdings) Ltd.,Delta Asia Group,,,,"""Banco Delta Asia, located and licensed in Macau, is the commercial banking arm of its parent company, Delta Asia Group (Holdings) Ltd. (“Delta Asia Group”)""; ""In addition to commercial banking, Delta Asia Group engages in investment banking and insurance activities""; ""For purposes of this rulemaking, our finding of primary money laundering concern and imposition of special measures shall apply exclusively to Banco Delta Asia and its branches, offices, and subsidiaries, and not to Delta Asia Group (Holdings) Ltd., or any of its other subsidiaries""",https://www.fincen.gov/system/files/shared/bda_final_rule.pdf
Banco Delta Asia,owner,Company,Delta Asia Group (Holdings) Ltd.,Delta Asia Group,,,,"""Banco Delta Asia, located and licensed in the Macau Special Administrative Region, China, is the commercial banking arm of its parent company, Delta Asia Group (Holdings) Ltd. (Delta Asia Group)""; ""In addition to commercial banking, Delta Asia Group engages in investment banking and insurance activities""; ""This finding of primary money laundering concern shall apply exclusively to Banco Delta Asia and its branches, offices, and subsidiaries, and not to Delta Asia Group (Holdings) Ltd., or any of its other subsidiaries""",https://www.fincen.gov/system/files/shared/finding_banco.pdf
Banco Delta Asia,owner,Company,Delta Asia Group (Holdings) Ltd.,Delta Asia Group,,,,"""Banco Delta Asia, located and licensed in the Macau Special Administrative Region, China, is the commercial banking arm of its parent company, Delta Asia Group (Holdings) Ltd. (Delta Asia Group)""; ""In addition to commercial banking, Delta Asia Group engages in investment banking and insurance activities""; ""For purposes of this rulemaking, The Financial Crimes Enforcement Network's designation of primary money laundering concern and imposition of special measures shall apply exclusively to Banco Delta Asia and its branches, offices, and subsidiaries, and not to Delta Asia Group (Holdings) Ltd., or any of its other subsidiaries""",https://www.fincen.gov/system/files/shared/notice_banco.pdf
Banco Delta Asia,owner,Company,Delta Asia Group (Holdings) Ltd.,,,,,"""The following month, Stanley Au and Delta Asia Group (Holdings) Ltd., the owners of BDA, filed a separate petition for rescission of the Final Rule""",https://www.govinfo.gov/content/pkg/FR-2020-08-10/pdf/2020-17143.pdf
Banco Delta Asia,owner,Company,Delta Asia Group (Holdings) Ltd.,,,,,"""The following month, Stanley Au and Delta Asia Group (Holdings) Ltd., the owners of BDA, filed a separate petition for rescission of the Final Rule""",https://www.govinfo.gov/content/pkg/FR-2020-08-10/pdf/2020-17144.pdf
Banco Delta Asia,subsidiary,Company,Delta Asia Insurance Limited,,,,,"""Banco Delta Asia has two wholly owned subsidiaries: Delta Asia Credit Limited and Delta Asia Insurance Limited""",https://www.fincen.gov/system/files/shared/bda_final_rule.pdf
Banco Delta Asia,target,Company,Delta Asia Insurance Limited,,,,,"""Imposition of Special Measure Against Banco Delta Asia, Including Its Subsidiaries Delta Asia Credit Limited and Delta Asia Insurance Limited, as a Financial Institution of Primary Money Laundering Concern""; ""we are prohibited from establishing, maintaining, administering or managing a correspondent account for, or on behalf of, Banco Delta Asia or any of its subsidiaries (including, but not limited to, Delta Asia Credit Limited, and Delta Asia Insurance Limited)""",https://www.fincen.gov/system/files/shared/bda_final_rule.pdf
Banco Delta Asia,subsidiary,Company,Delta Asia Insurance Limited,,,,,"""In addition, Banco Delta Asia maintains correspondent accounts in Europe, Asia, Australia, Canada, and the United States, and has two wholly owned subsidiaries: Delta Asia Credit Ltd., and Delta Asia Insurance Limited""",https://www.fincen.gov/system/files/shared/finding_banco.pdf
Banco Delta Asia,subsidiary,Company,Delta Asia Insurance Limited,,,,,"""In addition, Banco Delta Asia maintains correspondent accounts in Europe, Asia, Australia, Canada, and the United States, and has two wholly owned subsidiaries: Delta Asia Credit Ltd., and Delta Asia Insurance Limited""; ""These branches, offices, and subsidiaries include, but are not necessarily limited to, the Amaral, Antonio, Barca, Campo, Ioa Hon, Lisboa, Outubro, and Tap Sac branches in Macau, the Airport Service Centre, Financial Services Centre, Macao Administrative Centre, The Bank Centre, Delta Asia Credit Ltd., Delta Asia Insurance Limited, and the Tokyo Representative Office""",https://www.fincen.gov/system/files/shared/notice_banco.pdf
Banco Delta Asia,owner,Person,Stanley Au,,,,,"""The following month, Stanley Au and Delta Asia Group (Holdings) Ltd., the owners of BDA, filed a separate petition for rescission of the Final Rule""",https://www.govinfo.gov/content/pkg/FR-2020-08-10/pdf/2020-17143.pdf
Banco Delta Asia,owner,Person,Stanley Au,,,,,"""The following month, Stanley Au and Delta Asia Group (Holdings) Ltd., the owners of BDA, filed a separate petition for rescission of the Final Rule""",https://www.govinfo.gov/content/pkg/FR-2020-08-10/pdf/2020-17144.pdf
Bank of Dandong,self,,Bank of Dandong,"Bank of Dandong Co., Ltd.",China,"Dandong, China",,"""Established in 1997, Bank of Dandong is a small commercial bank located in Dandong, China that offers domestic and international financial services to both individuals and businesses""; ""According to commercial database research, Bank of Dandong is ranked as the 148th-largest financial institution out of a total of 196 financial institutions in China's banking sector""; ""The proposed rule defines “Bank of Dandong” to mean all subsidiaries, branches, offices, and agents of Bank of Dandong Co., Ltd. operating in any jurisdiction""",https://www.fincen.gov/system/files/federal_register_notices/2017-07-07/2017-14026.pdf
Bank of Dandong,self,,Bank of Dandong,"Bank of Dandong Co., Ltd.",China,"Dandong, China",,"""Established in 1997, Bank of Dandong is a small commercial bank located in Dandong, China that offers domestic and international financial services to both individuals and businesses""; ""According to commercial database research, Bank of Dandong is ranked as the 148th-largest financial institution out of a total of 196 financial institutions in China's banking sector""; ""The final rule defines “Bank of Dandong” to mean all subsidiaries, branches, and offices of Bank of Dandong Co., Ltd. operating in any jurisdiction""",https://www.fincen.gov/system/files/federal_register_notices/2017-11-08/Dandong%20Final%202017-24238.pdf
Bank of Dandong,owner,Company,Dandong Hongxiang Industrial Development Co. Ltd.,DHID,,,,"""Specifically, this entity, Dandong Hongxiang Industrial Development Co. Ltd. (DHID), maintained a minority ownership interest in Bank of Dandong until December 2016""; ""The United States designated DHID in 2016 for acting for, or on behalf of, KKBC, the U.S.- and UN-designated North Korean bank with which Bank of Dandong maintained a direct relationship since approximately 2013""; ""Bank of Dandong processed approximately $56 million through U.S. banks for DHID between October 2012 and December 2014""",https://www.fincen.gov/system/files/federal_register_notices/2017-07-07/2017-14026.pdf
Bank of Dandong,owner,Company,Dandong Hongxiang Industrial Development Co. Ltd.,DHID,,,,"""Specifically, this entity, Dandong Hongxiang Industrial Development Co. Ltd. (DHID), maintained a minority ownership interest in Bank of Dandong until December 2016""; ""The United States designated DHID in 2016 for acting for, or on behalf of, KKBC""; ""Bank of Dandong processed approximately $56 million through U.S. banks for DHID between October 2012 and December 2014""",https://www.fincen.gov/system/files/federal_register_notices/2017-11-08/Dandong%20Final%202017-24238.pdf
Bank of Dandong,related,Company,Korea Kwangson Banking Corporation,KKBC,North Korea,,,"""In particular, Bank of Dandong has facilitated financial activity for Korea Kwangson Banking Corporation (KKBC), a North Korean bank designated by the United States and listed by the United Nations for providing financial services in support of North Korean WMD proliferators""; ""As of May 2012, KKBC had a representative embedded at Bank of Dandong""; ""Moreover, Bank of Dandong maintained a direct correspondent banking relationship with KKBC since approximately 2013, when another Chinese bank ended a similar correspondent relationship""",https://www.fincen.gov/system/files/federal_register_notices/2017-07-07/2017-14026.pdf
